content,score,at
buset speednya mengecil dari jatah yang ditest 40 Mbps jadi 9Mbps. Kok bayar mahal jadi makin kecil sih?,1,24/03/2023 05:55
Makin kesini makin kesono tuh sinyal 🤦🏻‍♂️🤦🏻‍♂️... Tolong tingkatkan kualitas jaringannya,1,23/03/2023 14:16
"makin kesini makin parah sinyal internet tiap hari tidak ada untuk kota bandar lampung khusus nya teluk, saya sebagai pengguna lama dan setia provider ini sangat kecewa kalau begini terus",1,23/03/2023 08:14
"Knpa sudah aktif malah di minta daftar ulang, sudah berjn 3 bulan pemakaian",5,23/03/2023 02:49
Oke mantap,5,22/03/2023 19:06
Ngelag mulu di indramayu nyesel beli kartunya,1,22/03/2023 18:19
signal buruk,1,22/03/2023 16:33
Promonya gak merata kesemua pengguna bad,3,22/03/2023 15:35
"Tolong jaringannya diperbaiki lagi parah banget. Kirain tadinya hape gue yg error, nyoba pake wifi mulus2 aja tuh. Soalnya sayang kuota gw masih banyak. Makasih",3,22/03/2023 13:37
"Disuruh update, tapi ga bisa update",1,22/03/2023 12:16
"Kenapa di hp saya tampilan pemakaian dan sisa kuota SMS tidak ada ya??? Hanya ada notif pembelian paket SMS,Bagaimana saya bisa tau pemakaian kuota SMS saya",1,22/03/2023 11:30
Sinyalnya lebih stabil dari tel******,5,22/03/2023 08:35
Mantrap ni 👍 kuota gak hangus.. jaringan juga stabil,5,22/03/2023 05:31
"Paket data masih banyak,sinyal ada tapi kadang loading alias ga ON...sering registrasi ulang lewat kode OTP tapi kode OTP g ada via SMS...tlg lebih tingkatkan layanan",3,22/03/2023 02:53
Lebih hemat dan akurat,5,22/03/2023 01:32
Sejak saya pakai live on sering sekali banyak yg telp saya ngaku dari sh**p* dan menanyakan apakah betul ini dgn bpk ari windarto (bkn nama saya).padahal no yg sy beli no yg acak dan saya pilih sendiri.kenapa bisa ada pihak yg memakai no sy sebelumnya?ini kejadian bkn cm sekali 2x telp yg masuk.tapi hampir setiap hari bahkan sampai larut malam.sangat mengganggu sekali,1,21/03/2023 22:20
Good,5,21/03/2023 21:15
